0    [AWT-EventQueue-1] DEBUG com.caeps.gui.PSAnalysisPanel  - Inside establish learning set connection listener
8    [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Loading driver...
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Driver loaded!
34   [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Connecting database...
1087 [AWT-EventQueue-1] DEBUG com.caeps.run.ConnectToDB  - Database connected!
31506 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - For substation _9D8BB8E8B5DB40F6ABF515042B7DFF97: 0.956950585, -15.07717632
31506 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Average Voltage: 0.9876063423333333, Average Angle: -12.263027710555557
31507 [AWT-EventQueue-1] DEBUG com.caeps.run.RunMeansAlgorithm  - Cluster Description: null
31530 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31530 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31530 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31530 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster1
31531 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31532 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =50 for cluster2
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31533 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31534 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31534 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31534 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31534 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
31534 [AWT-EventQueue-1] INFO  com.caeps.run.RunMeansAlgorithm  - Count =29 for cluster3
