0    [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Loading driver...
28   [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Driver loaded!
29   [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Connecting database...
998  [main] DEBUG com.caeps.loadDatabase.ConnectToDB  - Database connected!
12456 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 1:1.0:0.0
12592 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 43:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12592 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 44:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12593 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 45:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12593 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 46:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12593 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 47:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12593 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 48:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12593 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 49:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 50:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 51:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 52:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 53:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 54:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12594 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 55:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 56:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 57:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 58:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 59:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 60:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12595 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 61:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12596 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 62:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12596 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 63:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12596 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 64:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12596 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 65:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12596 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 66:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
12597 [main] DEBUG com.caeps.run.RunMeansAlgorithm  - 67:_2BCC3D5923464FED9E08EB12EC388BD7:0.0:1.0:1
